race_id,position,driver_number,driver_name,team,laps_done,time,speed,points
GP22,NC,7,Räikkönen,Alfa Romeo Racing Ferrari,25,1:29.698,211.951,0
GP21,NC,47,Schumacher,Haas Ferrari,8,1:36.043,231.421,0
GP20,NC,77,Bottas,Mercedes,48,1:27.246,221.992,0
GP19,NC,18,Stroll,Aston Martin Mercedes,47,1:15.344,205.887,0
GP18,NC,22,Tsunoda,AlphaTauri Honda,0,0,0,0
GP17,NC,10,Gasly,AlphaTauri Honda,14,1:42.015,194.547,0
GP16,20,9,Mazepin,Haas Ferrari,56,1:35.438,201.353,0
GP15,NC,47,Schumacher,Haas Ferrari,32,1:40.276,209.948,0
GP14,NC,22,Tsunoda,AlphaTauri Honda,0,0,0,0
GP13,NC,9,Mazepin,Haas Ferrari,41,1:16.066,201.567,0
GP11,NC,18,Stroll,Aston Martin Mercedes,0,0,0,0
GP10,NC,33,Verstappen,Red Bull Racing Honda,0,0,0,0
GP09,NC,31,Ocon,Alpine Renault,0,0,0,0
GP08,NC,10,Gasly,AlphaTauri Honda,1,0,0,0
GP07,20,9,Mazepin,Haas Ferrari,52,1:39.317,211.758,0
GP06,NC,31,Ocon,Alpine Renault,3,1:50.850,194.955,0
GP06,NC,18,Stroll,Aston Martin Mercedes,29,1:46.207,203.478,0
GP06,18,33,Verstappen,Red Bull Racing Honda,45,1:44.481,206.839,0
GP06,17,63,Russell,Williams Mercedes,48,1:45.959,203.954,0
GP06,16,6,Latifi,Williams Mercedes,51,1:46.608,202.712,0
GP06,15,44,Hamilton,Mercedes,51,1:44.769,206.27,0
GP06,14,9,Mazepin,Haas Ferrari,51,1:47.747,200.569,0
GP06,13,47,Schumacher,Haas Ferrari,51,1:47.624,200.799,0
GP06,12,77,Bottas,Mercedes,51,1:45.665,204.521,0
GP06,11,99,Giovinazzi,Alfa Romeo Racing Ferrari,51,1:45.575,204.696,0
GP06,10,7,Räikkönen,Alfa Romeo Racing Ferrari,51,1:45.601,204.645,1
GP06,9,3,Ricciardo,McLaren Mercedes,51,1:45.713,204.428,2
GP06,8,55,Sainz,Ferrari,51,1:45.700,204.454,4
GP06,7,22,Tsunoda,AlphaTauri Honda,51,1:44.939,205.936,6
GP06,6,14,Alonso,Alpine Renault,51,1:45.624,204.601,8
GP06,5,4,Norris,McLaren Mercedes,51,1:45.326,205.18,10
GP06,4,16,Leclerc,Ferrari,51,1:45.382,205.071,12
GP06,3,10,Gasly,AlphaTauri Honda,51,1:45.220,205.386,15
GP06,2,5,Vettel,Aston Martin Mercedes,51,1:44.890,206.032,18
GP06,1,11,Perez,Red Bull Racing Honda,51,1:44.687,206.432,25
GP07,19,47,Schumacher,Haas Ferrari,52,1:38.847,212.765,0
GP07,18,6,Latifi,Williams Mercedes,52,1:38.313,213.92,0
GP07,17,7,Räikkönen,Alfa Romeo Racing Ferrari,52,1:37.992,214.621,0
GP07,16,16,Leclerc,Ferrari,52,1:37.681,215.304,0
GP07,15,99,Giovinazzi,Alfa Romeo Racing Ferrari,52,1:38.702,213.077,0
GP07,14,31,Ocon,Alpine Renault,52,1:38.645,213.2,0
GP07,13,22,Tsunoda,AlphaTauri Honda,52,1:38.980,212.479,0
GP07,12,63,Russell,Williams Mercedes,52,1:38.314,213.918,0
GP07,11,55,Sainz,Ferrari,53,1:38.931,212.584,0
GP07,10,18,Stroll,Aston Martin Mercedes,53,1:37.828,214.981,1
GP07,9,5,Vettel,Aston Martin Mercedes,53,1:37.138,216.508,2
GP07,8,14,Alonso,Alpine Renault,53,1:37.646,215.382,4
GP07,7,10,Gasly,AlphaTauri Honda,53,1:38.103,214.378,6
GP07,6,3,Ricciardo,McLaren Mercedes,53,1:38.324,213.896,8
GP07,5,4,Norris,McLaren Mercedes,53,1:37.425,215.87,10
GP07,4,77,Bottas,Mercedes,53,1:36.960,216.905,12
GP07,3,11,Perez,Red Bull Racing Honda,53,1:36.693,217.504,15
GP07,2,44,Hamilton,Mercedes,53,1:37.410,215.903,18
GP07,1,33,Verstappen,Red Bull Racing Honda,53,1:36.404,218.156,26
GP08,NC,63,Russell,Williams Mercedes,36,1:10.499,220.496,0
GP08,18,9,Mazepin,Haas Ferrari,68,1:10.951,219.092,0
GP08,17,6,Latifi,Williams Mercedes,68,1:10.104,221.739,0
GP08,16,47,Schumacher,Haas Ferrari,69,1:10.005,222.052,0
GP08,15,99,Giovinazzi,Alfa Romeo Racing Ferrari,70,1:09.723,222.95,0
GP08,14,31,Ocon,Alpine Renault,70,1:09.576,223.421,0
GP08,13,3,Ricciardo,McLaren Mercedes,70,1:09.305,224.295,0
GP08,12,5,Vettel,Aston Martin Mercedes,70,1:09.821,222.637,0
GP08,11,7,Räikkönen,Alfa Romeo Racing Ferrari,70,1:09.128,224.869,0
GP08,10,22,Tsunoda,AlphaTauri Honda,70,1:09.650,223.184,1
GP08,9,14,Alonso,Alpine Renault,70,1:09.749,222.867,2
GP08,8,18,Stroll,Aston Martin Mercedes,70,1:09.787,222.746,4
